Location,lat,lon
Adelaide,-34.9281805,138.5999312
Albany,-35.0247822,117.883608
Albury,-36.0737734,146.9135265
AliceSprings,-23.698,133.8807
BadgerysCreek,-33.8911,150.7444
Ballarat,-37.5623013,143.8605645
Bendigo,-36.7590183,144.2826718
Brisbane,-27.4689623,153.0235009
Cairns,-16.9206657,145.7721854
Canberra,-35.2975906,149.1012676
Cobar,-31.9666628,145.3045054
CoffsHarbour,-30.2963,153.1135
Dartmoor,-37.9242,141.2806
Darwin,-12.46044,130.8410469
GoldCoast,-28.0167,153.4
Hobart,-42.8825088,147.3281233
Katherine,-14.4646157,132.2635993
Launceston,-41.4340813,147.1373496
Melbourne,-37.8142454,144.9631732
MelbourneAirport,-37.669,144.841
Mildura,-34.195274,142.1503146
Moree,-29.4617202,149.8407153
MountGambier,-37.8284,140.7833
MountGinini,-35.5294,148.7733
Newcastle,-32.9192953,151.7795348
Nhil,-36.3328,141.6503
NorahHead,-33.2833,151.5833
NorfolkIsland,-29.0408,167.9547
Nuriootpa,-34.4693354,138.9939006
PearceRAAF,-31.6676,116.0153
Penrith,-33.7511954,150.6941711
Perth,-31.9558967,115.8605784
PerthAirport,-31.9385,115.9672
Portland,-38.3456231,141.6042304
Richmond,-33.6,150.7758
Sale,-38.1094463,147.0656717
SalmonGums,-32.9815,121.6438
Sydney,-33.8698439,151.2082848
SydneyAirport,-33.9461,151.1772
Townsville,-19.2569391,146.8239537
Tuggeranong,-35.4194,149.089
Uluru,-25.3444,131.0369
WaggaWagga,-35.1082,147.3598
Walpole,-34.9776796,116.7310063
Watsonia,-37.708,145.083
Williamtown,-32.815,151.8427778
Witchcliffe,-34.0261,115.1006
Wollongong,-34.4278083,150.893054
Woomera,-31.1999142,136.8253532
