Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,lat,lon,Month,month_sin,month_cos,PVOUT_avg_daily,PVOUT_annual_avg_daily,GHI_annual_avg_daily,DNI_annual_avg_daily,TEMP_annual_avg,SolarOutput_kWh_per_kWp
2015-01-04,Albury,26.0,33.1,0.0,,,NNE,41.0,ESE,W,7.0,7.0,46.0,37.0,1013.6,1012.1,8.0,5.0,27.4,30.9,No,No,-36.0737734,146.9135265,1,0.49999999999999994,0.8660254037844387,5.389636993408203,4.451210975646973,4.819196224212647,5.74550724029541,15.253625869750977,2.3242809534072877
2015-01-05,Albury,19.0,35.2,0.0,,,E,33.0,SSE,SE,7.0,9.0,60.0,34.0,1017.4,1014.7,8.0,,25.6,32.5,No,No,-36.0737734,146.9135265,1,0.49999999999999994,0.8660254037844387,5.389636993408203,4.451210975646973,4.819196224212647,5.74550724029541,15.253625869750977,1.6168910980224611
2015-01-07,Albury,20.3,36.5,0.0,,,NNE,31.0,SE,NNE,9.0,19.0,54.0,29.0,1018.0,1013.3,2.0,,26.4,34.9,No,No,-36.0737734,146.9135265,1,0.49999999999999994,0.8660254037844387,5.389636993408203,4.451210975646973,4.819196224212647,5.74550724029541,15.253625869750977,4.446450519561767
2015-01-08,Albury,20.7,34.1,0.0,,,N,44.0,ENE,SW,13.0,26.0,45.0,55.0,1012.4,1007.6,,8.0,28.7,27.8,No,Yes,-36.0737734,146.9135265,1,0.49999999999999994,0.8660254037844387,5.389636993408203,4.451210975646973,4.819196224212647,5.74550724029541,15.253625869750977,1.6168910980224611
2015-01-09,Albury,20.4,26.4,5.4,,,SSE,30.0,ESE,S,9.0,20.0,94.0,65.0,1009.0,1007.4,7.0,8.0,20.8,25.5,Yes,Yes,-36.0737734,146.9135265,1,0.49999999999999994,0.8660254037844387,5.389636993408203,4.451210975646973,4.819196224212647,5.74550724029541,15.253625869750977,1.8526877164840698
2015-01-10,Albury,19.7,21.7,7.0,,,SSE,24.0,SSE,SSE,7.0,13.0,97.0,95.0,1010.9,1010.3,8.0,8.0,20.3,21.4,Yes,Yes,-36.0737734,146.9135265,1,0.49999999999999994,0.8660254037844387,5.389636993408203,4.451210975646973,4.819196224212647,5.74550724029541,15.253625869750977,1.6168910980224611
2015-01-11,Albury,18.4,30.6,12.6,,,NE,28.0,ESE,E,9.0,11.0,83.0,49.0,1012.5,1010.0,8.0,,20.8,28.4,Yes,No,-36.0737734,146.9135265,1,0.49999999999999994,0.8660254037844387,5.389636993408203,4.451210975646973,4.819196224212647,5.74550724029541,15.253625869750977,1.6168910980224611
2015-01-13,Albury,18.1,27.0,0.0,,,NNE,39.0,ENE,NNE,20.0,13.0,47.0,95.0,1006.7,1000.9,7.0,8.0,24.1,20.5,No,Yes,-36.0737734,146.9135265,1,0.49999999999999994,0.8660254037844387,5.389636993408203,4.451210975646973,4.819196224212647,5.74550724029541,15.253625869750977,1.8526877164840698
2015-01-14,Albury,17.9,28.1,46.8,,,WSW,50.0,WNW,W,15.0,22.0,96.0,53.0,1000.4,1000.2,8.0,8.0,18.3,25.2,Yes,No,-36.0737734,146.9135265,1,0.49999999999999994,0.8660254037844387,5.389636993408203,4.451210975646973,4.819196224212647,5.74550724029541,15.253625869750977,1.6168910980224611
2015-01-20,Albury,14.4,31.1,0.0,,,NW,59.0,E,NNE,17.0,19.0,50.0,34.0,1009.7,1005.5,,3.0,23.0,29.0,No,Yes,-36.0737734,146.9135265,1,0.49999999999999994,0.8660254037844387,5.389636993408203,4.451210975646973,4.819196224212647,5.74550724029541,15.253625869750977,3.97485728263855
