Year,n_locations,n_rows,avg_days_per_location,frac_usable_sun_or_cloud,eligible,score
2015,48,17520,365.0,0.691,True,0.691
2010,45,16417,364.8,0.731,True,0.6848
2014,48,17520,365.0,0.675,True,0.6745
2009,45,16424,365.0,0.719,True,0.6739
2011,45,15072,334.9,0.728,True,0.6261
2013,48,16078,335.0,0.682,True,0.6255
2012,45,15074,335.0,0.706,True,0.6056
2020,48,17414,362.8,0.578,True,0.573
2018,48,17456,363.7,0.56,True,0.5577
2021,47,16816,357.8,0.573,True,0.5498
2019,48,17519,365.0,0.544,True,0.5436
2022,46,16729,363.7,0.559,True,0.5341
2024,46,16804,365.3,0.525,True,0.5017
2017,48,14688,306.0,0.594,True,0.4976
2023,46,16783,364.8,0.513,True,0.4917
2025,45,16425,365.0,0.521,True,0.4888
2007,1,61,61.0,1.0,False,0.0
2008,23,2270,98.7,0.919,False,0.0
2016,48,1239,25.8,0.697,False,0.0
2026,45,1350,30.0,0.49,False,0.0
